# ISOLATED SEGMENTATION ROI - FLIR0207 - m1
# label,m1
# roi_index,1
# mean_temp,36.048721
# min_temp,31.801655
# max_temp,37.176636
# std_temp,0.631163
# pixel_count,1045
#
NaN,35.657650,35.630264,35.612003,35.580040,35.639393,35.602871,35.639393,35.671337,35.716961,35.794479,35.634827,35.794479,35.817268,35.944813,36.017628,36.067665,36.072212,36.072212,36.054020,35.803596,35.867393,35.953915,35.844612,35.803596,35.324020,34.234234,NaN
NaN,35.657650,35.612003,35.570904,35.630264,35.634827,35.616570,35.639393,35.689590,35.648521,35.634827,35.739765,35.871948,36.026730,36.017628,35.963020,36.108589,36.094948,36.185848,35.981224,35.972122,35.963020,35.972122,35.908386,35.685028,35.410946,34.566391,NaN
NaN,NaN,35.612003,35.598305,35.612003,35.630264,35.634827,35.685028,35.689590,35.776245,35.844612,35.862835,36.054020,36.194935,36.154041,36.117680,36.149498,36.108589,36.167675,36.090401,35.881058,36.058571,36.104042,35.967571,35.789921,35.337749,34.566391,NaN
NaN,NaN,35.584606,35.580040,35.584606,35.602871,35.648521,35.685028,35.726086,35.721523,36.072212,36.017628,36.199478,36.367435,36.244896,36.358364,36.376511,36.258518,36.204021,36.208561,36.204021,36.135864,36.113136,36.076759,35.799038,35.452099,34.603237,NaN
NaN,NaN,35.534363,35.580040,35.561771,35.584606,35.630264,35.675903,35.730644,35.739765,36.003979,36.154041,36.144951,36.294834,36.390118,36.381046,36.453594,36.390118,36.371975,36.267597,36.267597,36.213104,36.253979,36.113136,35.985779,35.447529,34.584816,NaN
NaN,NaN,35.420094,35.557201,35.538933,35.598305,35.625698,35.689590,35.739765,35.794479,35.835499,35.894722,36.144951,36.244896,36.371975,36.385582,36.399185,36.408257,36.394650,36.399185,36.430927,36.403721,36.240356,36.326603,36.067665,35.580040,34.732113,NaN
NaN,NaN,35.374355,35.438385,35.442955,35.525227,35.621132,35.694153,35.735207,35.739765,35.726086,35.876503,36.108589,36.263058,36.172218,36.376511,36.362900,36.444527,36.453594,36.480789,36.535156,36.480789,36.426392,36.276676,36.099495,35.506947,34.893005,31.980843
NaN,NaN,35.397224,35.488667,35.493240,35.584606,35.580040,35.703278,35.666775,35.739765,35.876503,36.094948,36.235813,36.272137,36.367435,36.439995,36.512505,36.535156,36.630245,36.571388,36.603085,36.480789,36.371975,36.267597,36.185848,35.534363,34.847061,32.145634
NaN,NaN,35.388077,35.415520,35.433811,35.511517,35.680466,35.748886,35.730644,35.835499,35.981224,36.131317,36.235813,36.335678,36.412792,36.530628,36.571388,36.594028,36.720730,36.716209,36.707161,36.521568,36.390118,36.290295,36.217648,35.648521,35.122467,32.507339
NaN,NaN,35.552635,35.529793,35.502380,35.543499,35.689590,35.726086,35.739765,35.849167,36.072212,36.163132,36.326603,36.412792,36.494381,36.720730,36.607613,36.756905,36.734299,36.729774,36.720730,36.507977,36.399185,36.299374,36.126774,35.657650,35.072025,32.685417
NaN,NaN,35.639393,35.703278,35.685028,35.712402,35.744328,35.912937,36.022179,36.117680,36.226730,36.240356,36.435459,36.485321,36.535156,36.711685,36.707161,36.765949,36.747864,36.747864,36.562332,36.480789,36.290295,36.208561,36.090401,35.653084,35.291977,NaN
NaN,NaN,35.698715,35.748886,35.789921,35.762566,35.821827,35.994877,36.167675,36.303913,36.480789,36.494381,36.634769,36.684544,36.616665,36.657398,36.720730,36.729774,36.752384,36.575916,36.553276,36.308453,36.331142,36.231274,36.063118,35.653084,35.104126,NaN
NaN,NaN,35.776245,35.799038,35.867393,35.903831,35.972122,36.172218,36.217648,36.467190,36.498913,36.594028,36.670971,36.607613,36.625717,36.657398,36.652870,36.616665,36.607613,36.553276,36.471725,36.294834,36.253979,36.185848,36.044926,35.662212,35.117882,NaN
NaN,NaN,35.844612,35.885612,35.940258,36.031277,36.204021,36.312988,36.526096,36.630245,36.643822,36.666447,36.657398,36.630245,36.661922,36.666447,36.639294,36.612137,36.575916,36.548744,36.471725,36.303913,36.154041,36.176762,36.054020,35.639393,35.122467,NaN
NaN,NaN,35.912937,35.958469,36.058571,36.135864,36.190392,36.512505,36.612137,36.517036,36.643822,36.594028,36.652870,36.661922,36.675495,36.680019,36.652870,36.625717,36.589500,36.530628,36.462658,36.322067,36.344753,36.194935,36.094948,35.680466,35.104126,NaN
NaN,NaN,NaN,36.026730,36.081306,36.154041,36.213104,36.322067,36.453594,36.544216,36.562332,36.584972,36.648346,36.661922,36.684544,36.693592,36.661922,36.634769,36.621193,36.566860,36.507977,36.390118,36.358364,36.340218,36.163132,35.716961,35.099541,NaN
NaN,NaN,NaN,36.072212,36.122227,36.199478,36.204021,36.494381,36.494381,36.480789,36.553276,36.598557,36.684544,36.670971,36.725254,36.711685,36.693592,36.670971,36.652870,36.603085,36.553276,36.512505,36.353828,36.344753,36.163132,35.748886,35.085785,NaN
NaN,NaN,NaN,36.126774,36.158585,36.222187,36.281219,36.344753,36.412792,36.503445,36.566860,36.621193,36.675495,36.698116,36.720730,36.738819,36.720730,36.725254,36.680019,36.639294,36.603085,36.539688,36.412792,36.403721,36.299374,35.767128,35.076611,NaN
